brand,model,body_type,model_seat,model_variant,price,fuel_type,transmission_type,colour_variants,location
Tata,Punch,SUV,5 Seater,Pure,₹6.71 L,Petrol,Manual,Available in 2 colors,Delhi
Tata,Nexon,SUV,5 Seater,1.2 Smart Plus,₹10.02 L,Petrol,Manual,Available in 4 colors,Delhi
Tata,Curvv EV,SUV,5 Seater,Accomplished 55,₹20.28 L,Electric,Automatic,Available in 4 colors,Delhi
Tata,Nexon EV,SUV,5 Seater,Empowered Plus 45,₹17.94 L,Electric,Automatic,Available in 4 colors,Delhi
Tata,Harrier,SUV,5 Seater,Pure Plus S,₹22.14 L,Diesel,Manual,Available in 2 colors,Delhi
Tata,Punch EV,SUV,5 Seater,Adventure LR 3.3,₹13.65 L,Electric,Automatic,Available in 4 colors,Delhi
Tata,Safari,SUV,7 Seater,Smart,₹18.37 L,Diesel,Manual,Available in 2 colors,Delhi
Tata,Curvv,SUV,5 Seater,1.2 Pure Plus,₹13.12 L,Petrol,Manual,Available in 4 colors,Delhi
Tata,Tigor,Sedan,5 Seater,XM,₹6.69 L,Petrol,Manual,Available in 2 colors,Delhi
Tata,Tiago EV,Hatchback,5 Seater,XT LR,₹10.93 L,Electric,Automatic,Available in 6 colors,Delhi
Tata,Tiago NRG,Hatchback,5 Seater,XZ,₹8.30 L,Petrol,Manual,Available in 4 colors,Delhi
Tata,Tiago,Hatchback,5 Seater,XE,₹5.62 L,Petrol,Manual,Available in 2 colors,Delhi
Tata,Altroz,Hatchback,5 Seater,1.2 Smart,₹7.85 L,Petrol,Manual,Available in 5 colors,Delhi
Tata,Harrier EV,SUV,5 Seater,Adventure 65 ACFC,₹23.16 L,Electric,Automatic,Available in 2 colors,Delhi
Tata,Harrier (2020-2023),SUV,5 Seater,2.0 XE,₹18.23 L,Diesel,Manual,Available in 1 color,Delhi
Tata,Nexon EV Max (2022-2023),SUV,5 Seater,XZ Plus 7.2 KW FC,₹19.06 L,Electric,Automatic,Available in 3 colors,Delhi
